Pair ID,Animal 1,Animal 2,Length Ratio (A1:A2),Height Ratio (A1:A2),Width Ratio (A1:A2),Facing
237,Snow Leopard,Grizzly Bear,0.49,0.54,0.37,"height, length"
238,Snow Leopard,Penguin (Emperor),3.14,0.8,0.83,height
239,Snow Leopard,Hedgehog,4.4,5.83,2.92,"height, length"
240,Snow Leopard,Great White Shark,0.22,0.5,0.32,"height, length"
241,Snow Leopard,Giant Squid,0.09,1.4,0.7,length
242,Snow Leopard,Rooster,2.44,1.75,1.4,"height, length"
243,Camel (Dromedary),Reindeer,1.41,1.48,1.31,"height, length"
244,Camel (Dromedary),Narwhal,0.58,2.69,1.0,"height, length"
245,Camel (Dromedary),Walrus,0.87,1.79,0.57,length
246,Camel (Dromedary),Beluga Whale,0.5,1.72,0.71,"height, length"
247,Camel (Dromedary),Kangaroo,1.96,1.3,1.7,"height, length"
248,Camel (Dromedary),Koala,3.82,2.99,2.83,"height, length"
249,Camel (Dromedary),Platypus,5.0,12.65,5.67,"height, length"
250,Camel (Dromedary),Axolotl,11.0,35.83,14.17,"height, length"
251,Camel (Dromedary),Sloth,4.3,8.6,3.4,"height, length"
252,Camel (Dromedary),Toucan,5.0,9.77,5.67,"height, length"
253,Camel (Dromedary),Grizzly Bear,1.22,1.65,0.89,"height, length"
254,Camel (Dromedary),Penguin (Emperor),7.86,2.44,2.02,height
255,Camel (Dromedary),Hedgehog,11.0,17.92,7.08,"height, length"
256,Camel (Dromedary),Great White Shark,0.55,1.54,0.77,"height, length"
257,Camel (Dromedary),Giant Squid,0.23,4.3,1.7,length
258,Camel (Dromedary),Rooster,6.11,5.37,3.4,"height, length"
259,Reindeer,Narwhal,0.41,1.81,0.76,"height, length"
260,Reindeer,Walrus,0.62,1.21,0.43,length
261,Reindeer,Beluga Whale,0.35,1.16,0.54,"height, length"
262,Reindeer,Kangaroo,1.39,0.88,1.3,"height, length"
263,Reindeer,Koala,2.71,2.01,2.17,"height, length"
264,Reindeer,Platypus,3.55,8.53,4.33,"height, length"
265,Reindeer,Axolotl,7.8,24.17,10.83,"height, length"
266,Reindeer,Sloth,3.05,5.8,2.6,"height, length"
267,Reindeer,Toucan,3.55,6.59,4.33,"height, length"
268,Reindeer,Grizzly Bear,0.87,1.12,0.68,"height, length"
269,Reindeer,Penguin (Emperor),5.57,1.65,1.55,height
270,Reindeer,Hedgehog,7.8,12.08,5.42,"height, length"
271,Reindeer,Great White Shark,0.39,1.04,0.59,"height, length"
272,Reindeer,Giant Squid,0.16,2.9,1.3,length
273,Reindeer,Rooster,4.33,3.62,2.6,"height, length"
274,Narwhal,Walrus,1.51,0.67,0.57,length
275,Narwhal,Beluga Whale,0.86,0.64,0.71,"height, length"
276,Narwhal,Kangaroo,3.39,0.48,1.7,"height, length"
277,Narwhal,Koala,6.6,1.11,2.83,"height, length"
278,Narwhal,Platypus,8.64,4.71,5.67,"height, length"
279,Narwhal,Axolotl,19.0,13.33,14.17,"height, length"
280,Narwhal,Sloth,7.42,3.2,3.4,"height, length"
281,Narwhal,Toucan,8.64,3.64,5.67,"height, length"
282,Narwhal,Grizzly Bear,2.11,0.62,0.89,"height, length"
283,Narwhal,Penguin (Emperor),13.57,0.91,2.02,height
284,Narwhal,Hedgehog,19.0,6.67,7.08,"height, length"
285,Narwhal,Great White Shark,0.95,0.57,0.77,"height, length"
286,Narwhal,Giant Squid,0.4,1.6,1.7,length
287,Narwhal,Rooster,10.56,2.0,3.4,"height, length"
288,Walrus,Beluga Whale,0.57,0.96,1.25,length
289,Walrus,Kangaroo,2.25,0.73,3.0,length
290,Walrus,Koala,4.38,1.67,5.0,length
291,Walrus,Platypus,5.73,7.06,10.0,length
292,Walrus,Axolotl,12.6,20.0,25.0,length
293,Walrus,Sloth,4.92,4.8,6.0,length
294,Walrus,Toucan,5.73,5.45,10.0,length
295,Walrus,Grizzly Bear,1.4,0.92,1.58,length
297,Walrus,Hedgehog,12.6,10.0,12.5,length
298,Walrus,Great White Shark,0.63,0.86,1.36,length
299,Walrus,Giant Squid,0.26,2.4,3.0,length
300,Walrus,Rooster,7.0,3.0,6.0,length
301,Beluga Whale,Kangaroo,3.93,0.76,2.4,"height, length"
302,Beluga Whale,Koala,7.64,1.74,4.0,"height, length"
303,Beluga Whale,Platypus,10.0,7.35,8.0,"height, length"
304,Beluga Whale,Axolotl,22.0,20.83,20.0,"height, length"
305,Beluga Whale,Sloth,8.59,5.0,4.8,"height, length"
306,Beluga Whale,Toucan,10.0,5.68,8.0,"height, length"
307,Beluga Whale,Grizzly Bear,2.44,0.96,1.26,"height, length"
308,Beluga Whale,Penguin (Emperor),15.71,1.42,2.86,height
309,Beluga Whale,Hedgehog,22.0,10.42,10.0,"height, length"
310,Beluga Whale,Great White Shark,1.1,0.89,1.09,"height, length"
311,Beluga Whale,Giant Squid,0.46,2.5,2.4,length
312,Beluga Whale,Rooster,12.22,3.12,4.8,"height, length"
313,Kangaroo,Koala,1.94,2.29,1.67,"height, length"
314,Kangaroo,Platypus,2.55,9.71,3.33,"height, length"
315,Kangaroo,Axolotl,5.6,27.5,8.33,"height, length"
316,Kangaroo,Sloth,2.19,6.6,2.0,"height, length"
317,Kangaroo,Toucan,2.55,7.5,3.33,"height, length"
318,Kangaroo,Grizzly Bear,0.62,1.27,0.53,"height, length"
319,Kangaroo,Penguin (Emperor),4.0,1.88,1.19,height
320,Kangaroo,Hedgehog,5.6,13.75,4.17,"height, length"
321,Kangaroo,Great White Shark,0.28,1.18,0.45,"height, length"
322,Kangaroo,Giant Squid,0.12,3.3,1.0,length
323,Kangaroo,Rooster,3.11,4.12,2.0,"height, length"
324,Koala,Platypus,1.31,4.24,2.0,"height, length"
325,Koala,Axolotl,2.88,12.0,5.0,"height, length"
326,Koala,Sloth,1.12,2.88,1.2,"height, length"
327,Koala,Toucan,1.31,3.27,2.0,"height, length"
328,Koala,Grizzly Bear,0.32,0.55,0.32,"height, length"
329,Koala,Penguin (Emperor),2.06,0.82,0.71,height
330,Koala,Hedgehog,2.88,6.0,2.5,"height, length"
331,Koala,Great White Shark,0.14,0.51,0.27,"height, length"
332,Koala,Giant Squid,0.06,1.44,0.6,length
333,Koala,Rooster,1.6,1.8,1.2,"height, length"
334,Platypus,Axolotl,2.2,2.83,2.5,"height, length"
335,Platypus,Sloth,0.86,0.68,0.6,"height, length"
336,Platypus,Toucan,1.0,0.77,1.0,"height, length"
337,Platypus,Grizzly Bear,0.24,0.13,0.16,"height, length"
338,Platypus,Penguin (Emperor),1.57,0.19,0.36,height
339,Platypus,Hedgehog,2.2,1.42,1.25,"height, length"
340,Platypus,Great White Shark,0.11,0.12,0.14,"height, length"
341,Platypus,Giant Squid,0.05,0.34,0.3,length
342,Platypus,Rooster,1.22,0.42,0.6,"height, length"
343,Axolotl,Sloth,0.39,0.24,0.24,"height, length"
344,Axolotl,Toucan,0.45,0.27,0.4,"height, length"
345,Axolotl,Grizzly Bear,0.11,0.05,0.06,"height, length"
346,Axolotl,Penguin (Emperor),0.71,0.07,0.14,height
347,Axolotl,Hedgehog,1.0,0.5,0.5,"height, length"
348,Axolotl,Great White Shark,0.05,0.04,0.05,"height, length"
349,Axolotl,Giant Squid,0.02,0.12,0.12,length
350,Axolotl,Rooster,0.56,0.15,0.24,"height, length"
351,Sloth,Toucan,1.16,1.14,1.67,"height, length"
352,Sloth,Grizzly Bear,0.28,0.19,0.26,"height, length"
353,Sloth,Penguin (Emperor),1.83,0.28,0.6,height
354,Sloth,Hedgehog,2.56,2.08,2.08,"height, length"
355,Sloth,Great White Shark,0.13,0.18,0.23,"height, length"
356,Sloth,Giant Squid,0.05,0.5,0.5,length
357,Sloth,Rooster,1.42,0.62,1.0,"height, length"
358,Toucan,Grizzly Bear,0.24,0.17,0.16,"height, length"
359,Toucan,Penguin (Emperor),1.57,0.25,0.36,height
360,Toucan,Hedgehog,2.2,1.83,1.25,"height, length"
361,Toucan,Great White Shark,0.11,0.16,0.14,"height, length"
362,Toucan,Giant Squid,0.05,0.44,0.3,length
363,Toucan,Rooster,1.22,0.55,0.6,"height, length"
364,Grizzly Bear,Penguin (Emperor),6.43,1.48,2.26,height
365,Grizzly Bear,Hedgehog,9.0,10.83,7.92,"height, length"
366,Grizzly Bear,Great White Shark,0.45,0.93,0.86,"height, length"
367,Grizzly Bear,Giant Squid,0.19,2.6,1.9,length
368,Grizzly Bear,Rooster,5.0,3.25,3.8,"height, length"
369,Penguin (Emperor),Hedgehog,1.4,7.33,3.5,height
370,Penguin (Emperor),Great White Shark,0.07,0.63,0.38,height
372,Penguin (Emperor),Rooster,0.78,2.2,1.68,height
373,Hedgehog,Great White Shark,0.05,0.09,0.11,"height, length"
374,Hedgehog,Giant Squid,0.02,0.24,0.24,length
375,Hedgehog,Rooster,0.56,0.3,0.48,"height, length"
376,Great White Shark,Giant Squid,0.42,2.8,2.2,length
377,Great White Shark,Rooster,11.11,3.5,4.4,"height, length"
378,Giant Squid,Rooster,26.67,1.25,2.0,length
