Animal 1,Animal 2,Facing,Size Animal 1 (m),Size Animal 2 (m),Ratio (A1/A2)
Narwhal,Rooster,length,4.75,0.45,10.5556
Walrus,Beluga Whale,length,3.15,5.5,0.5727
Walrus,Koala,length,3.15,0.72,4.375
Walrus,Platypus,length,3.15,0.55,5.7273
Walrus,Axolotl,length,3.15,0.25,12.6
Walrus,Sloth,length,3.15,0.64,4.9219
Walrus,Toucan,length,3.15,0.55,5.7273
Walrus,Grizzly Bear,length,3.15,2.25,1.4
Walrus,Hedgehog,length,3.15,0.25,12.6
Walrus,Great White Shark,length,3.15,5.0,0.63
Walrus,Giant Squid,length,3.15,12.0,0.2625
Walrus,Rooster,length,3.15,0.45,7.0
Beluga Whale,Koala,length,5.5,0.72,7.6389
Beluga Whale,Platypus,length,5.5,0.55,10.0
Beluga Whale,Axolotl,length,5.5,0.25,22.0
Beluga Whale,Sloth,length,5.5,0.64,8.5938
Beluga Whale,Toucan,length,5.5,0.55,10.0
Beluga Whale,Grizzly Bear,length,5.5,2.25,2.4444
Beluga Whale,Hedgehog,length,5.5,0.25,22.0
Beluga Whale,Great White Shark,length,5.5,5.0,1.1
Beluga Whale,Giant Squid,length,5.5,12.0,0.4583
Beluga Whale,Rooster,length,5.5,0.45,12.2222
Kangaroo,Koala,height,1.65,0.72,2.2917
Kangaroo,Platypus,height,1.65,0.17,9.7059
Kangaroo,Toucan,height,1.65,0.22,7.5
Kangaroo,Grizzly Bear,height,1.65,1.3,1.2692
Kangaroo,Penguin (Emperor),height,1.65,0.88,1.875
Kangaroo,Hedgehog,height,1.65,0.12,13.75
Kangaroo,Rooster,height,1.65,0.4,4.125
Koala,Platypus,height,0.72,0.17,4.2353
Koala,Axolotl,length,0.72,0.25,2.88
Koala,Sloth,length,0.72,0.64,1.125
Koala,Toucan,height,0.72,0.22,3.2727
Koala,Grizzly Bear,height,0.72,1.3,0.5538
Koala,Penguin (Emperor),height,0.72,0.88,0.8182
Koala,Hedgehog,height,0.72,0.12,6.0
Koala,Great White Shark,length,0.72,5.0,0.144
Koala,Giant Squid,length,0.72,12.0,0.06
Koala,Rooster,height,0.72,0.4,1.8
Platypus,Axolotl,length,0.55,0.25,2.2
Platypus,Sloth,length,0.55,0.64,0.8594
Platypus,Toucan,height,0.17,0.22,0.7727
Platypus,Grizzly Bear,height,0.17,1.3,0.1308
Platypus,Penguin (Emperor),height,0.17,0.88,0.1932
Platypus,Hedgehog,height,0.17,0.12,1.4167
Platypus,Great White Shark,length,0.55,5.0,0.11
Platypus,Giant Squid,length,0.55,12.0,0.0458
Platypus,Rooster,height,0.17,0.4,0.425
Axolotl,Sloth,length,0.25,0.64,0.3906
Axolotl,Toucan,length,0.25,0.55,0.4545
Axolotl,Grizzly Bear,length,0.25,2.25,0.1111
Axolotl,Hedgehog,length,0.25,0.25,1.0
Axolotl,Great White Shark,length,0.25,5.0,0.05
Axolotl,Giant Squid,length,0.25,12.0,0.0208
Axolotl,Rooster,length,0.25,0.45,0.5556
Sloth,Toucan,length,0.64,0.55,1.1636
Sloth,Grizzly Bear,length,0.64,2.25,0.2844
Sloth,Hedgehog,length,0.64,0.25,2.56
Sloth,Great White Shark,length,0.64,5.0,0.128
Sloth,Giant Squid,length,0.64,12.0,0.0533
Sloth,Rooster,length,0.64,0.45,1.4222
Toucan,Grizzly Bear,height,0.22,1.3,0.1692
Toucan,Penguin (Emperor),height,0.22,0.88,0.25
Toucan,Hedgehog,height,0.22,0.12,1.8333
Toucan,Great White Shark,length,0.55,5.0,0.11
Toucan,Giant Squid,length,0.55,12.0,0.0458
Toucan,Rooster,height,0.22,0.4,0.55
Grizzly Bear,Penguin (Emperor),height,1.3,0.88,1.4773
Grizzly Bear,Hedgehog,height,1.3,0.12,10.8333
Grizzly Bear,Great White Shark,length,2.25,5.0,0.45
Grizzly Bear,Giant Squid,length,2.25,12.0,0.1875
Grizzly Bear,Rooster,height,1.3,0.4,3.25
Penguin (Emperor),Hedgehog,height,0.88,0.12,7.3333
Penguin (Emperor),Rooster,height,0.88,0.4,2.2
Hedgehog,Great White Shark,length,0.25,5.0,0.05
Hedgehog,Giant Squid,length,0.25,12.0,0.0208
Hedgehog,Rooster,height,0.12,0.4,0.3
Great White Shark,Giant Squid,length,5.0,12.0,0.4167
Great White Shark,Rooster,length,5.0,0.45,11.1111
Giant Squid,Rooster,length,12.0,0.45,26.6667
